Category,Name,NameCH,Sweetness,Preparation_Time,Calories,Ingredients,Temperature,Size,Link,Image,Almond Flakes,Almond Pudding,Almond Soup,Black Sugar Boba,Boba,Caramel Pudding,Caramel Sauce,Chocolate Chip Egg Waffle,Chocolate Chips,Chocolate Egg Waffle,Chocolate Syrup,Chocolate Wafer Rolls,Coconut Flakes,Coconut Milk,Coconut Soup,Creamer,Crystal Mochi,Egg Waffle,Fluffy,Grass Jelly,Grass Jelly Shaved Ice,Grass Jelly Soup,Hot Red Beans Soup,Ice Cream,Mango,Matcha Egg Waffle,Matcha Red Beans Egg Waffle,Melon Jelly,Milk,Milk Tea Sauce,Mini Q,Mixed Nuts,Mung Bean Cakes,Peanuts,Potaro Ball,Purple Rice,Purple Rice Soup,Q Mochi,Red Beans,Red Beans Soup,Rice Balls,Sago,Sesame Rice Balls,Shaved Ice,Strawberry,Taro,Taro Balls,Taro Paste,Taro Paste Sauce,Tofu Pudding,Ube Milk Shaved Ice,Ube Paste
芋圆甜点,Icy Taro Ball Signature,招牌冰芋圆,2,4,694,"Taro Balls,Taro Paste,Taro Balls,Boba,Shaved Ice",1," 
 	
One Size",https://www.meetfresh.us/icy-taro-ball-signature/,static/icy-taro-ball-Signature.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
仙草甜点,Icy Grass Jelly Signature,招牌冰仙草,2,4,420,"Taro Balls,Grass Jelly Shaved Ice,Grass Jelly",1," 
 	
One Size",https://www.meetfresh.us/icy-grass-jelly-signature/,static/Signature-Icy-Grass-Jelly.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
芋圆甜点,Double Taro Signature,双芋招牌,2,4,586,"Taro Balls,Taro Paste,Ice Cream,Grass Jelly Shaved Ice,Grass Jelly",1," 
 	
One Size",https://meetfresh.us/double-taro-signature-2/,static/雙芋招牌-1.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
红豆汤甜点,Hot Red Bean Soup Signature,招牌热红豆汤,2,4,1135,"Taro Balls,Sesame Rice Balls,Taro,Red Beans,Boba,Red Beans Soup",2," 
 	
One Size",https://www.meetfresh.us/hot-red-bean-soup-signature/,static/04-Hot-Red-Bean-Soup-Signature-2024.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
仙草甜点,Hot Grass Jelly Signature,招牌热烧仙草,2,4,944,"Mini Q,Red Beans,Boba,Grass Jelly Soup",2," 
 	
One Size",https://www.meetfresh.us/hot-grass-jelly-soup-signature/,static/Hot-Grass-Jelly-Signature-trasparent.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
芋圆甜点,Icy Taro Ball Combo A,冰芋圆A,2,4,988,"Taro Balls,Red Beans,Peanuts,Boba,Shaved Ice",1," 
 	
One Size",https://meetfresh.us/icy-taro-ball-combo-a/,static/356a4444-8cf0-45a9-8c66-2d0b7733fb30.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
芋圆甜点,Icy Taro Ball Combo B,冰芋圆B,2,4,828,"Taro Balls,Taro,Red Beans,Boba,Shaved Ice",1," 
 	
One Size",https://meetfresh.us/icy-taro-ball-combo-b/,static/02-Icy-Taro-Ball-B-2024.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
芋圆甜点,Icy Taro Ball Combo C,冰芋圆C,2,4,714,"Taro Balls,Melon Jelly,Rice Balls,Boba,Shaved Ice",1," 
 	
One Size",https://meetfresh.us/icy-taro-ball-combo-c/,static/Icy-Taro-Ball-Combo-C-冰芋圓C.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
仙草甜点,Icy Grass Jelly Combo A,冰仙草A,2,4,702,"Grass Jelly,Red Beans,Peanuts,Boba,Grass Jelly Shaved Ice",1," 
 	
One Size",https://www.meetfresh.us/icy-grass-jelly-combo-a,static/5f05f890-b2dc-42ff-9496-5e2a2ffc417f.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
仙草甜点,Icy Grass Jelly Combo B,冰仙草B,2,4,542,"Grass Jelly,Taro,Red Beans,Boba,Grass Jelly Shaved Ice",1," 
 	
One Size",https://www.meetfresh.us/icy-grass-jelly-combo-b,static/408f0de5-342a-4325-9e0c-26924b7321ee.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
